Date,Ticker,Shares Bought,Buy Price,Cost Basis,PnL,Reason,Shares Sold,Sell Price
2025-07-07,AZTR,55.0,0.25,13.75,0.0,MANUAL BUY - New position,,
2025-07-07,CSAI,,,1.9,5.7,MANUAL SELL - Rotated into AZTR,15.0,2.28
2025-07-08,IINN,20.0,1.5,30.0,0.0,MANUAL BUY - New position,,
2025-07-21,CADL,,,25.2,8.5,MANUAL SELL - GAIN CAPITAL FOR ACTU,5.0,6.59
2025-07-21,ACTU,6.0,5.75,34.5,0.0,MANUAL BUY - New position,,
2025-07-28,IINN,,,9.0,-0.5400000000000009,MANUAL SELL - POSITION REDUCTION,6.0,1.41
2025-07-29,AZTR,,,13.75,-2.75,MANUAL SELL - DILUTION RISK,55.0,0.2
2025-08-01,IINN,2.0,1.74,3.48,0.0,MANUAL BUY - New position,,
2025-08-01,ABEO,,,11.54,1.200000000000001,MANUAL SELL - TRIM AFTER SUPPORT LOSS,2.0,6.37
2025-08-07,ESPR,2.0,1.91,3.82,0.0,MANUAL BUY - New position,,
2025-08-08,IINN,,,1.5,-6.4,AUTOMATED SELL - STOPLOSS TRIGGERED,16.0,1.1
2025-08-14,ATYR,8.0,5.09,40.72,0.0,MANUAL BUY - New position,,
2025-08-18,ACTU,,,34.5,14.22,MANUAL SELL - ,6.0,8.12
2025-08-18,ESPR,,,3.82,0.3199999999999998,MANUAL SELL - ,2.0,2.07
2025-08-18,IINN,10.0,1.25,12.5,0.0,MANUAL BUY - New position,,
2025-08-18,AXGN,2.0,14.96,29.92,0.0,MANUAL BUY - New position,,
2025-09-02,IINN,,,12.5,-0.9000000000000004,MANUAL SELL LIMIT - ,10.0,1.16
2025-09-02,ATYR,4.0,5.44,21.76,0.0,MANUAL BUY LIMIT - Filled,,
2025-09-04,FBIO,1.0,2.85,2.85,0.0,MANUAL BUY LIMIT - Filled,,
2025-09-08,AXGN,,,29.92,2.280000000000001,MANUAL SELL LIMIT - ,2.0,16.1
2025-09-08,FBIO,2.0,3.8,7.6,0.0,MANUAL BUY LIMIT - Filled,,
2025-09-08,FDMT,2.0,7.35,14.7,0.0,MANUAL BUY LIMIT - Filled,,
2025-09-12,ATYR,,,10.413333333333334,1.3866666666666667,MANUAL SELL LIMIT - ,2.0,5.9
2025-09-15,ATYR,,,52.06666666666667,-39.46666666666667,MANUAL SELL LIMIT - ,10.0,1.26
2025-09-15,FBIO,5.0,3.85,19.25,0.0,MANUAL BUY LIMIT - Filled,,
2025-09-15,SNGX,5.0,2.859999895095825,14.299999475479126,0.0,MANUAL BUY LIMIT - Filled,,
2025-09-15,ABEO,,,5.77,2.52,AUTOMATED SELL - STOPLOSS TRIGGERED,4.0,6.4
2025-09-22,SNGX,,,14.299999475479126,-1.4999994754791253,MANUAL SELL LIMIT - ,5.0,2.56
2025-09-22,FDMT,,,7.35,-0.6999999999999993,MANUAL SELL LIMIT - ,1.0,6.65
2025-09-22,FBIO,,,9.801,0.2309999999999998,MANUAL SELL LIMIT - ,2.64,3.8
2025-09-22,ALDX,6.0,4.93,29.58,0.0,MANUAL BUY MOO - Filled,,
2025-09-22,SPRO,12.0,2.01,24.12,0.0,MANUAL BUY MOO - Filled,,
2025-09-23,FDMT,,,7.35,0.1600002288818363,MANUAL SELL LIMIT - ,1.0,7.510000228881836
2025-09-24,ALDX,1.0,5.05,5.05,0.0,MANUAL BUY LIMIT - Filled,,
2025-09-25,ALDX,1.0,4.95,4.95,0.0,MANUAL BUY LIMIT - Filled,,
2025-09-25,SPRO,,,2.01,-0.72,AUTOMATED SELL - STOPLOSS TRIGGERED,12.0,1.95
2025-09-29,ALDX,,,9.895,0.4050001907348637,MANUAL SELL LIMIT - ,2.0,5.150000095367432
2025-09-29,FBIO,2.0,3.9,7.8,0.0,MANUAL BUY LIMIT - Filled,,
2025-09-29,SPRO,13.0,1.8899999856948853,24.56999981403351,0.0,MANUAL BUY LIMIT - Filled,,
2025-10-01,FBIO,,,3.957,-10.41,AUTOMATED SELL - STOPLOSS TRIGGERED,7.0,2.47
2025-10-06,ALDX,,,14.8425,2.497500629425049,MANUAL SELL LIMIT - ,3.0,5.78000020980835
2025-10-06,ALDX,,,14.8425,2.497500629425049,MANUAL SELL LIMIT - ,3.0,5.78000020980835
2025-10-06,ALDX,,,14.8425,2.497500629425049,MANUAL SELL LIMIT - ,3.0,5.78000020980835
2025-10-06,OKYO,10.0,2.0799999237060547,20.799999237060547,0.0,MANUAL BUY LIMIT - Filled,,
2025-10-06,TLSA,8.0,1.9900000095367432,15.920000076293944,0.0,MANUAL BUY LIMIT - Filled,,
2025-10-07,ALDX,,,14.8425,1.6875006866455085,MANUAL SELL LIMIT - ,3.0,5.510000228881836
2025-10-08,TLSA,,,3.9800000190734863,0.5199999809265137,MANUAL SELL LIMIT - ,2.0,2.25
2025-10-08,TLSA,,,3.9800000190734863,0.5199999809265137,MANUAL SELL LIMIT - ,2.0,2.25
2025-10-10,SPRO,9.0,2.38,21.42,0.0,MANUAL BUY LIMIT - Filled,,
2025-10-13,OKYO,,,20.799999237060547,-0.8999991416931152,MANUAL SELL LIMIT - ,10.0,1.9900000095367432
2025-10-13,SPRO,,,14.63318175901066,1.8168175734173173,MANUAL SELL LIMIT - ,7.0,2.3499999046325684
2025-10-13,MIST,17.0,2.0299999713897705,34.5099995136261,0.0,MANUAL BUY LIMIT - Filled,,
2025-10-20,SPRO,,,31.356818055022845,1.943182374130597,MANUAL SELL LIMIT - ,15.0,2.220000028610229
2025-10-20,TLSA,,,11.94000005722046,-0.239999771118164,MANUAL SELL LIMIT - ,6.0,1.950000047683716
2025-10-20,AYTU,10.0,2.259999990463257,22.59999990463257,0.0,MANUAL BUY LIMIT - Filled,,
2025-10-20,MBOT,8.0,2.8499999046325684,22.799999237060547,0.0,MANUAL BUY LIMIT - Filled,,
2025-10-27,MIST,1.0,1.9,1.9,0.0,MANUAL BUY LIMIT - Filled,,
2025-10-28,MBOT,,,2.8499999046325684,-4.4,AUTOMATED SELL - STOPLOSS TRIGGERED,8.0,2.3
2025-11-06,MIST,,,2.022777750757005,-5.81,AUTOMATED SELL - STOPLOSS TRIGGERED,18.0,1.7
2025-11-06,AYTU,,,2.259999990463257,-4.6,AUTOMATED SELL - STOPLOSS TRIGGERED,10.0,1.8
2025-11-10,MIST,14.0,1.75,24.5,0.0,MANUAL BUY LIMIT - Filled,,
2025-11-10,VTGN,6.0,4.010000228881836,24.060001373291016,0.0,MANUAL BUY LIMIT - Filled,,
2025-11-10,AYTU,8.0,2.009999990463257,16.079999923706055,0.0,MANUAL BUY LIMIT - Filled,,
2025-11-17,AYTU,,,16.079999923706055,0.6399993896484375,MANUAL SELL LIMIT - ,8.0,2.0899999141693115
2025-11-17,SLS,13.0,1.409999966621399,18.329999566078182,0.0,MANUAL BUY LIMIT - Filled,,
2025-12-03,VTGN,,,24.060001373291016,-2.460001373291014,MANUAL SELL LIMIT - ,6.0,3.6
2025-12-22,SLS,,,11.279999732971191,8.080000877380371,MANUAL SELL LIMIT - ,8.0,2.4200000762939453
2025-12-22,JSPR,20.0,1.8799999952316284,37.59999990463257,0.0,MANUAL BUY LIMIT - Filled,,
2026-01-09,JSPR,,,1.8799999952316284,-7.6,AUTOMATED SELL - STOPLOSS TRIGGERED,20.0,1.5
